en	te
Tom's days are numbered.	టామ్ యొక్క రోజులు లెక్కించబడ్డాయి.
I don't think that Tom was busy yesterday.	టామ్ నిన్న బిజీగా ఉన్నాడని నేను అనుకోను.
Unfortunately, that's true.	దురదృష్టవశాత్తు, అది నిజం.
What were we thinking?	మేము ఏమి ఆలోచిస్తున్నాము?
Where are you located?	మీరు ఎక్కడ ఉన్నారు?
Tom told me that he was at school.	టామ్ అతను స్కూల్లో ఉన్నానని చెప్పాడు.
Tom called me this afternoon.	టామ్ ఈ మధ్యాహ్నం నన్ను పిలిచాడు.
Try doing that again.	మళ్ళీ అలా ప్రయత్నించండి.
Tom thinks I need to help Mary.	నేను మేరీకి సహాయం చేయాల్సిన అవసరం ఉందని టామ్ భావిస్తాడు.
It was inevitable, wasn't it?	ఇది అనివార్యం, కాదా?
Tom was hoping that he could help Mary.	టామ్ మేరీకి సహాయం చేయగలడని ఆశతో ఉన్నాడు.
Tom is doing an exemplary job.	టామ్ ఒక ఆదర్శప్రాయమైన పని చేస్తున్నాడు.
I am a monk.	నేను సన్యాసిని.
Do you need it now?	మీకు ఇప్పుడు ఇది అవసరమా?
Let's do what Tom wants us to do.	టామ్ మనం ఏమి చేయాలనుకుంటున్నాడో అది చేద్దాం.
What's Tom going to say about that?	టామ్ దాని గురించి ఏమి చెప్పబోతున్నాడు?
I'll be in the basement.	నేను నేలమాళిగలో ఉంటాను.
Guntur has a rich cultural heritage and a long history dating back to the ancient times.	గుంటూరుకు గొప్ప సాంస్కృతిక వారసత్వం మరియు పురాతన కాలం నాటి సుదీర్ఘ చరిత్ర ఉంది.
Where can I exchange foreign currency?	నేను విదేశీ కరెన్సీని ఎక్కడ మార్పిడి చేసుకోగలను?
Has Tom officially retired?	టామ్ అధికారికంగా పదవీ విరమణ పొందారా?
I've heard that you shouldn't eat red meat more than once a day.	మీరు ఎర్ర మాంసం రోజుకు ఒకటి కంటే ఎక్కువసార్లు తినకూడదని విన్నాను.
Your safety isn't our concern.	మీ భద్రత మా ఆందోళన కాదు.
Tom threw Mary a life preserver.	టామ్ మేరీని లైఫ్ ప్రిజర్వర్‌గా విసిరాడు.
My father died before I got my diploma.	నా డిప్లొమా రాకముందే నాన్న చనిపోయాడు.
Tom started packing his suitcase.	టామ్ తన సూట్‌కేస్‌ను ప్యాక్ చేయడం ప్రారంభించాడు.
Tom gave a famous singer ten thousand dollars to come to the restaurant to sing Happy Birthday.	టామ్ ఒక ప్రసిద్ధ గాయకుడికి పది వేల డాలర్లు ఇచ్చి హ్యాపీ బర్త్ డే పాడటానికి రెస్టారెంట్‌కు వచ్చాడు.
Where do you plan to spend the summer?	వేసవిని ఎక్కడ గడపాలని మీరు ప్లాన్ చేస్తున్నారు?
I don't really want to think about it.	నేను నిజంగా దాని గురించి ఆలోచించడం ఇష్టం లేదు.
Native house	స్థానిక ఇల్లు
Tom said hi to me in French.	టామ్ ఫ్రెంచ్‌లో నాకు హాయ్ చెప్పాడు.
I love making desserts.	నాకు డెజర్ట్‌లు తయారు చేయడం చాలా ఇష్టం.
Tom went to a costume party last weekend.	టామ్ గత వారాంతంలో కాస్ట్యూమ్ పార్టీకి వెళ్ళాడు.
Tom and I aren't afraid.	టామ్ మరియు నేను భయపడము.
